DrawdownOrder,EffectiveEndDate,EffectiveStartDate,Label,OverageChargeable,ProductUsageResource.Product.StockKeepingUnit,ProductUsageResource.UsageResource.Code,Quantity,RenewalPolicy.Code,RolloverPolicy.Code,Status,Type,UnitOfMeasure.UnitCode,UnitOfMeasureClass.Code,UsageDefinitionProduct.StockKeepingUnit,ValidityPeriodTerm,ValidityPeriodUnit
ExpiringFirst,,2023-01-01T20:00:00.000+0000,,Yes,QB-DB,UR-CPUTIME,0,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,m,TIME,QB-CPU-BLNG,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,,,QB-QTY-CMT,UR-CPUTIME,5000,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Commit,m,TIME,QB-CPU-BLNG,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,,Yes,QB-DB,UR-DATASTORAGE,10,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,TB,DATAVOL,QB-DATA-STORAGE-BLNG,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,,,QB-QTY-CMT,UR-DATASTORAGE,50,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Commit,TB,DATAVOL,QB-DATA-STORAGE-BLNG,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,QB-TK-Commit-PUG,Yes,QB-CMT-TKN-FLAT,QB-TOKEN,25000,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Commit,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,QB-TK-Commit-BND-PUG,Yes,QB-CMT-TKN-BND,QB-TOKEN,25000,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Commit,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,QuantumDB - Token PUG,Yes,QB-DB-TOKEN,QB-TOKEN,10000,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,QB-TK-Commit-PUG,Yes,QB-CMT-TKN-TIER,QB-TOKEN,25000,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Commit,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,QB-TK-Commit-PUG,Yes,QB-CMT-TKN-EACH,QB-TOKEN,25000,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Commit,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,,,QB-MTY-CMT,UR-USD,500,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Commit,USD,CURRENCY,RES-USD-DEF,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,QuantumBit Tokens Pack PUG,Yes,QB-TOKENS-PACK,QB-TOKEN,5000,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,TOKEN-UOM,Token_UoM_Class,QB-TOKEN-DEF,1,Month
ExpiringFirst,,2023-01-01T20:00:00.000+0000,Additional Data Throughput Pack PUG,Yes,QB-DAT-THPT,UR-DATAXFR,100,QB-DB-REFRESH,QB-DB-ROLLOVER,Draft,Grant,GB,DATAVOL,QB-DATA-THPT-BLNG,1,Month
