RLM_Learning_ActionText__c,RLM_Learning_Active__c,RLM_Learning_Description__c,RLM_Learning_Header__c,Name,RLM_Learning_Note__c,RLM_Learning_Sub_Header__c,RLM_Learning_Action__r.Name,RLM_Learning_Icon__r.Name
,true,,,Home Welcome Block,,,,
,true,"<p><strong style=""font-size: 18px;"">Agentforce Revenue Management Learning Journey</strong></p><p style=""text-align: center;""><strong style=""font-size: 18px;"">﻿</strong></p><p style=""text-align: center;""><img src=""/resource/InAppLearningImages/revenue-cloud-fundamentals.png"" alt=""Revenue Cloud Fundamentals""></p><p><a href=""https://trailhead.salesforce.com/content/learn/trails/explore-revenue-cloud-fundamentals"" target=""_blank"" rel=""noopener noreferrer""><strong>Agentforce Revenue Management Fundamentals</strong></a></p><p>Get an overview of Agentforce Revenue Management and see how it supports product catalog, pricing, contracts, and orders to streamline the entire revenue lifecycle.</p><p><br></p><p><a href=""https://trailhead.salesforce.com/content/learn/trails/boost-sales-efficiency-with-revenue-cloud"" target=""_blank"" rel=""noopener noreferrer""><strong>Boost Sales Efficiency with Agentforce Revenue Management</strong></a></p><p>Discover how Agentforce Revenue Management helps sales teams close deals faster through guided selling, and automation.</p><p><br></p><p><a href=""https://trailhead.salesforce.com/content/learn/trails/configure-revenue-cloud"" target=""_blank"" rel=""noopener noreferrer""><strong>﻿Configure Agentforce Revenue Management</strong></a></p><p>Learn to configure Agentforce Revenue Management components to deliver seamless end-to-end processes.</p>",,Revenue Cloud Fundamentals,,,,
,true,"<p><strong style=""font-size: 18px;"">Revenue Cloud Certification</strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Get exam-ready for the</span><strong style=""background-color: rgb(255, 255, 255);""> </strong><a href=""https://trailheadacademy.salesforce.com/certificate/exam-revenue-cloud-consultant---Rev-Con-201"" target=""_blank"" style=""background-color: rgb(255, 255, 255); color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Salesforce Revenue Cloud Consultant Certification</strong></a><strong>.</strong><span style=""background-color: rgb(255, 255, 255);""> Review key concepts, explore scenarios, and strengthen your knowledge across CPQ, and Product-to-Cash lifecycle.</span></p><p><br></p><p style=""text-align: center;""><img src=""/resource/InAppLearningImages/revenue-cloud-certification.png"" alt=""Revenue Cloud Certification""></p><p><a href=""https://trailhead.salesforce.com/content/learn/trails/prepare-for-your-salesforce-revenue-cloud-consultant-exam"" target=""_blank"" rel=""noopener noreferrer""><strong>Prepare For Your Salesforce Revenue Cloud Consultant Certification</strong></a></p>",,Revenue Cloud Certification,,,,
,true,"<h1><strong>Product Configurator Learning Hub</strong></h1><p style=""text-align: center;""><img src=""/resource/InAppLearningImages/product-configurator-learning-block-1.png"" alt=""Product Configurator""></p><p><a href=""https://trailhead.salesforce.com/content/learn/modules/product-configuration-with-revenue-cloud"" target=""_blank"" rel=""noopener noreferrer""><strong>Product Configuration with Agentforce Revenue Management</strong></a></p><p><br></p><p>Explore to configure and validate products to enhance product selection.</p>",,Product Configurator Learning Block 1,,,,
,true,"<h1><strong>Product Catalog Management Learning Hub</strong></h1><p style=""text-align: center;""><img src=""/resource/InAppLearningImages/product-catalog-management-learning-block-3.png"" alt=""Product Catalog Management""></p><p><a href=""https://trailhead.salesforce.com/content/learn/modules/product-catalog-management-quick-look"" target=""_blank"" rel=""noopener noreferrer""><strong>Product Catalog Management: Quick Look</strong></a></p><p>Get an overview of how Product Catalog Management streamlines product creation, organization, and pricing across Agentforce Revenue Management.</p><p><br></p><p><a href=""https://trailhead.salesforce.com/content/learn/modules/product-catalog-management-with-revenue-cloud"" target=""_blank"" rel=""noopener noreferrer""><strong>Product Catalog Management with Agentforce Revenue Management</strong></a></p><p>Explore to configure and manage products in Agentforce Revenue Management</p>",,Product Catalog Management Learning Block 3,,,,
,true,"<p>We&#39;ve got Pricing set up for you. If you need to check the setup or review the steps, just refer to this.</p><p><br></p><p>With Salesforce Pricing, your users can create customized price adjustment methods that define how discounts are applied to your products and services. Pricing procedures help you create precise formulas for calculating the final net price, and provide complete visibility into the pricing calculation process.</p><p><br></p><h3><strong style=""background-color: transparent;"">Pricing Recipe</strong></h3><ul><li>Every pricing org requires a pricing recipe. When Salesforce Pricing is activated, your org is automatically set up with a predefined recipe.</li></ul><p><strong style=""background-color: transparent;"">Select a Pricing Procedure</strong></p><p><br></p><ul><li>To select a pricing procedure, you must first clone the predefined expression set templates available. You can also build a custom pricing procedure to meet the unique needs of your business.</li></ul><p><strong style=""background-color: transparent;"">Record Sharing</strong></p><p><br></p><ul><li>For runtime users to access the data created by product designers or catalog admins, set up record sharing for all the Pricing entities.</li></ul><p><strong>Set Up Price Logs</strong></p><p><br></p><ul><li>To collect logs captured by pricing APIs, turn on Price Logs Capture.</li></ul><p><strong>Set Up Objects for Salesforce Pricing</strong></p><p><br></p><ul><li>There are recommended Pricing objects configurations described. You can set up Pricing objects based on your requirements.</li></ul><p><br></p><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.pricing_salesforce_pricing.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Show Me How to Set Up Pricing in Salesforce Help</strong></a></p>",Validate Setup,Price Management Validate Popup Block,,,,
,true,"<p><br></p><p>To get hands-on with Salesforce Pricing capabilities, <a href=""/lightning/app/standard__PriceManagement/page/home"" target=""_blank"" rel=""noopener noreferrer""><strong>Launch the App.</strong></a></p>",,Salesforce Pricing Launch App Popup Block,,,,
,true,"<p>With the comprehensive solutions of Agentforce Revenue Management, your sales reps can use Transaction Management to:</p><p><br></p><ul><li>Access product catalogs with Product Catalog Management.</li><li>Configure products to meet your business requirements with Product Configurator.</li><li>Price products with Salesforce Pricing.</li><li>Define rates for your customers based on their consumption of your products with Rate Management.</li><li>Design and track intricate order fulfillment processes with Dynamic Revenue Orchestrator.</li><li>Configure tax calculations for your transactions by using an external tax engine provider.</li></ul><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_set_up_quote_and_order_capture.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Transaction Management Essentials</strong></a>: Before you configure Transaction Management, learn about its features, considerations, limits, available personas, and permissions.</p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_customize_quote_and_order_capture.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Customize Transaction Management</strong></a>: To provide the necessary information and a personalized experience for your sales reps, sales operations reps, and partners, customize page layouts and Transaction Management components.</p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_sales_transactions_rev_cloud.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Sales Transactions in Revenue Cloud</strong></a>: Manage different types of sales transactions such as quotes, orders, contracts, and assets seamlessly in Agentforce Revenue Management.</p><p><br></p><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_quote_and_order_capture.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Explore Transaction Management in Salesforce Help</strong></a></p>",,Transaction Management Get Started Popup Text Block,,,,
,true,"<p>Product Catalog Management includes various permission sets for users. These users or personas perform various roles in implementing and managing your product portfolio. These manual steps represent one option for creating data in the org. Customers can also consider alternative options for importing data, either from files or from other orgs. The data can include products, pricing, and related rules.</p><p><br></p><ul><li><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_sales_transactions_rev_cloud.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Object Setup</strong></a>: To complete the setup of Product Catalog Management, adjust the page layout and field access on the product catalog objects.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_sales_transactions_rev_cloud.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Record Sharing</strong></a>: For runtime users to access the data created by product designers or catalog admins, set up record sharing for all PCM entities.</li></ul><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.product_catalog_introduction.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Show Me How to Set Up Transaction Management in Salesforce Help</strong></a></p>",,Transaction Management Validate Setup Popup Text Block,,,,
,true,"<p><br></p><p>To get hands-on with Transaction Management,<a href=""/lightning/o/Quote/list?filterName=All"" target=""_blank"" rel=""noopener noreferrer""><strong> Launch the App.</strong></a></p>",,Transaction Management Launch App Popup Text Block,,,,
