BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,Allowed,Foundational certification designed for professionals who want to demonstrate their knowledge and skills in managing and customizing Salesforce.,,Support,true,true,false,Admin Certification,ACERT001,,Commercial,ACERT001,,
,false,Allowed,,,,true,true,false,Anchor Product with Token,ANC01,,Commercial,ANC01,,
,false,Allowed,This Anchor Produce used for Commitment products attachment,,,true,true,false,Anchor C,ANC01-2,,Commercial,ANC01-2,,
,false,,,,,true,true,false,Anchor C - Billing,ANCHOR-C-BILLING,,Commercial,ANCHOR-C-BILLING,,
,false,,,,,true,true,false,Anchor Product with token - Billing,ANCHOR-PRODUCT-WITH-TOKEN-BILLING,,Commercial,ANCHOR-PRODUCT-WITH-TOKEN-BILLING,,
,false,NotAllowed,"The program teaches how to apply creative thinking, algorithmic design, and coding skills in developing modern Artificial Intelligence systems.",https://www.shutterstock.com/image-photo/elearning-technology-webinar-online-education-600nw-2324449597.jpg,Support,true,true,true,AI Specialist Training,APTRG001,,Commercial,APTRG001,,
,false,NotAllowed,"The Certified Artificial Intelligence Expert certification is typically designed for individuals who have an in-depth understanding of artificial intelligence (AI) concepts, algorithms, and applications and want to validate their expertise in the field.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsp4GoUP_nGiCXJ-wzYkPx-RlA_UCUX0zIDv3slxnJACqXaRd1vHJUZe6yQklUiXvEDgo&usqp=CAU,Support,true,true,false,AI Specialist Certification,ASTCERT001,,Commercial,ASTCERT001,,
,false,Allowed,"Learning that qualifies you for more complex, responsible tasks in your area of expertise.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0MVO7Xs5_ekbB3wf-zcdy-7BqUsuJtDJuh508G5T0P_sSj94AVtAlPp9Zmk8fJ6NQhns&usqp=CAU,Support,true,true,false,Advanced Training,ATRG001,,Commercial,ATRG001,Bundle,
,false,Allowed,AT&T Mobile bundle product includes Mobile plan and SMS Add-on,,,true,true,false,AT&T Mobile Bundle,ATTM001,,Commercial,ATTM001,Bundle,
,false,Allowed,"Rampable Usage Product. AT&T Mobile Plan , talk, text, and data in and between the U.S., Canada, and Mexico.",,Service,true,true,false,AT&T Mobile Plan,ATTMB001,,Commercial,ATTMB001,,
,false,Allowed,AT&T Add On for SMS on the mobile plans.,,,true,true,false,AT&T Add On for SMS,ATTSMS07,,Commercial,ATTSMS07,,
,false,Allowed,A program designed to detect and remove viruses and other kinds of malicious software from your computer or laptop.,https://www.shutterstock.com/image-photo/antivirus-cyber-security-data-protection-600nw-1402830170.jpg,Software,true,true,false,Antivirus,AV001,,Commercial,AV001,,
