BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,Provisioning and Activation Service,QB-AEH-CPU,,,QB-AEH-CPU,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,AEH Environment Runtime,QB-AEH-ENV,,,QB-AEH-ENV,,
,false,Allowed,,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,AEH Object Store - Restricted Use,QB-AEH-OBJ,,,QB-AEH-OBJ,,
PC-QB-API,true,Allowed,,/resource/add_api,Software,true,true,false,Additional API,QB-API,,,QB-API,,
,false,,,/resource/RLM_quantumBit_logo_sq,None,true,true,false,API Calls,QB-API-CALLS,Each,,QB-API-CALLS,,
,false,,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_flex,Software,true,true,false,Additional API Flex (100M),QB-API-FLEX,,,QB-API-FLEX,,
,false,,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_govt,Software,true,true,false,Additional API Gov,QB-API-GOVT,,,QB-API-GOVT,,
,false,,Increase productivity by managing all your APIs and microservices from one place.,/resource/RLM_quantumBit_logo_sq,Software,true,true,false,QB API Management Solution,QB-API-MGMT,,,QB-API-MGMT,,
,false,,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_preprod,Software,true,true,false,Additional API Pre-Prod,QB-API-PREP,,,QB-API-PREP,,
,false,,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,/resource/api_prod,Software,true,true,false,Additional API Prod,QB-API-PROD,,,QB-API-PROD,,
,false,,QuantumBit API Experience Hub enables you to create vibrant ecosystems and grow engagement for your API products,/resource/api_access,Software,true,true,false,API Access Requests (AEH),QB-API-REQT,,,QB-API-REQT,,
,false,,"Your QuantumBit Automation subscription plan includes a quota of Automation QB Credits that you can use with QB RPA, QB Orchestrator, or a combination of both products. As you use processes to create automations, your total credit quota is depleted. 1 QB Automation Credit = 2 RPA Bot Minutes, 1 QB Automation Credit = 100 RPA API Calls, 1 QB Automation Credit = 50 Orchestrator Tasks",/resource/add_auto_credit,Software,true,true,false,Additional Automation QB Credits,QB-AUT-CRED,,,QB-AUT-CRED,,
,false,,"The Business Critical Edition offers specialized functionality for highly regulated industries, especially those with sensitive data. The edition includes all features in the Enterprise Edition plus ...",/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit Business Critical,QB-BDL-CRTL,,,QB-BDL-CRTL,,
,false,,The Enterprise Edition is for companies with large-scale data initiatives looking for more granular enterprise controls. This edition includes all Starter Edition features plus ...,/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit Enterprise,QB-BDL-ENTR,,,QB-BDL-ENTR,,
PC-QB-SERVER,false,Allowed,"The PowerSwerve server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",/resource/powerswerve,Bundle,true,true,false,PowerSwerve R750 Rack Server,QB-BDL-R750,Each,,QB-BDL-R750,Bundle,
,false,,"Support and protect your IT equipment with rack enclosures designed for flexible deployments, usability and infrastructure scalability.",/resource/RLM_quantumBit_logo_sq,Bundle,true,true,false,QuantumBit Rack Enclosure,QB-BDL-RAXS,,,QB-BDL-RAXS,,
PC-QB-PSBUNDLE,false,Allowed,"Custom Implementation managed by in-house professional services, charged on a Time and Material basis.",/resource/ps_qb_project,Bundle,true,true,false,QuantumBit Services Project,QB-BDL-SRVC,,,QB-BDL-SRVC,Bundle,
,false,Allowed,The Starter Edition is the introductory offering providing access to core platform functionality. This edition includes all core platform functionality with ...,/resource/starter,Bundle,true,true,false,QuantumBit Starter,QB-BDL-STND,,,QB-BDL-STND,Bundle,
PC-QB-NIC,false,Allowed,Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.,/resource/intel_x710_sfp,Hardware,true,true,false,Intel X710 Dual Port 10Gb SFP,QB-BET X710SFP,Each,,QB-BET X710SFP,,
,false,,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 8 rack units (U's) for a vertical storage rack.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 8U 600mmx1070mm,QB-BMX-1050,,,QB-BMX-1050,,
,false,,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 6 rack units (U's) for a vertical storage rack.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 6U 600mmx870mm,QB-BMX-1051,,,QB-BMX-1051,,
,false,,"QuantumShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system. Holds 10 rack units (U's) for a vertical storage rack.",/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,QuantumShell 10U 600mmx1200mm,QB-BMX-1053,,,QB-BMX-1053,,
,false,,The 19-inch Black Modular Toolless Blanking Panel allows for quick and easy installation in any EIA-310-D compliant square hole mounting rail rack or enclosure.,/resource/RLM_quantumBit_logo_sq,Hardware,true,true,false,Blanking Panel,QB-BSSA-4298,,,QB-BSSA-4298,,
